2458939.3167	8.5
2458939.3170	8.7
2458939.3576	8.5
2458939.4000	8.2
2458939.6819	8.7
2458940.2472	8.5
2458940.2917	8.6
2458940.2917	8.5
2458940.3097	8
2458940.3890	8.9
2458940.4310	8.7
2458940.4792	7.75
2458940.6087	8.4
2458941.3100	8.7
2458941.3160	8.5
2458941.3300	8.5
2458941.3542	7.9
2458941.3611	8.2
2458941.4340	8.7
2458941.4472	8.3
2458941.5965	8.4
2458941.6181	8.8
2458941.6465	8.6
2458941.6701	8.5
2458942.2806	8.5
2458942.2917	8.7
2458942.3600	8.7
2458942.5438	8.5
2458942.5618	8.62
2458942.5910	8.6
2458943.3194	8.6
2458943.4028	8.9
2458943.5660	8.6
2458944.2965	8.6
2458944.5000	7.8
2458945.0035	8.7
2458945.3333	8.7
2458945.3486	8.5
2458945.3710	8.7
2458945.5000	8.9
2458945.5130	8.9
2458946.3000	9
2458946.3100	9.2
2458946.3200	8.8
2458946.3271	8.6
2458947.2826	8.6
2458947.4000	8.5
2458947.4271	7.9
2458948.2960	9
2458948.3333	8.5
2458948.3500	8.8
2458948.3700	8.8
2458948.3778	8.6
2458948.5493	8.8
2458948.5760	8.8
2458949.2917	9
2458949.3100	8.8
2458949.3174	8.9
2458949.3257	8.4
2458949.3438	8.6
2458949.3650	8.9
2458949.3700	8.7
2458949.3750	9
2458949.3903	8.8
2458949.4000	8.7
2458949.4271	8.3
2458949.5715	8.8
2458949.6000	9.1
2458949.6208	9
2458949.6597	8.8
2458949.9271	8.9
2458950.2778	8.5
2458950.3000	9
2458950.3160	9
2458950.3229	8.6
2458950.3300	8.6
2458950.3576	8.6
2458950.3639	8.2
2458950.3646	8.5
2458950.3680	9
2458950.3903	8.6
2458950.3960	8.5
2458950.4000	8.5
2458950.4000	8.6
2458950.4063	8.2
2458950.4257	8.4
2458950.5014	8.7
2458950.5715	8.65
2458950.5813	8.7
2458951.2847	8.9
2458951.3000	9.1
2458951.3063	8.6
